ОТДЕЛЕНИЕ;USD пок;USD прод;EUR пок;EUR прод;RUB пок;RUB прод
  Беларусбанк г. Минск, пр. Газеты «правда», 20  15:22;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Есенина, 16  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Любимова, 30/2  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Р.люксембург, 99  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Газеты «звязда», 55  15:17;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Слободская, 15  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Слободская, 135  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Р.слобода, 9  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Уманская, 54/1-29  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Любимова, 41  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Дзержинского, 131  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Я.брыля, 30  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, пр. Дзержинского, 119  15:13;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Ленина, 5  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. В.хоружей, 46/1  15:22;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, бул. Шевченко, 12  15:22;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Ольшевского, 1/3  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Берута, 24/1  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, пр. Пушкина, 75  15:17;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. М.богдановича, 6  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Жудро, 59  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. П.глебки, 2  15:13;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Пономаренко, 41  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. П.глебки, 118  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Бурдейного, 13  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Одинцова, 36/1  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, пр. Победителей, 75/1  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Притыцкого, 78  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Сухаревская, 8  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. М.танка, 34/2  15:17;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. К.маркса, 16  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, пр. Победителей, 7  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Будславская, 2  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Одинцова, 113  15:25;2.030;2.062;2.245;2.290;3.060;3.200
  Беларусбанк г. Минск, ул. Сухаревская, 62  15:13;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Лидская, 14  15:25;2.030;2.062;2.245;2.290;3.060;3.200
  Беларусбанк г. Минск, ул. Матусевича, 66  15:25;2.030;2.062;2.240;2.292;3.050;3.200
